# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Feb 20 13:06:31 2020
#
# COLUMN epic_name:      EPIC Name
# COLUMN tm_name:        2MASS Designation
# COLUMN epic_candname:  Candidate Name
# COLUMN pl_name:        Planet Name
# COLUMN k2c_refdisp:    Reference Disposition
# COLUMN k2c_reflink:    Reference Link
# COLUMN k2c_disp:       Exoplanet Archive Disposition
# COLUMN k2c_note:       Notes
# COLUMN k2_campaign:    K2 Campaign
# COLUMN k2c_recentflag: Most Recent Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_trandep:     Transit Depth [percent]
# COLUMN pl_trandur:     Transit Duration [days]
# COLUMN pl_imppar:      Impact Parameter
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_ratdor:      Ratio of Distance to Stellar Radius
# COLUMN pl_ratror:      Ratio of Candidate to Stellar Radius
# COLUMN pl_rade:        Candidate Radius [Earth radii]
# COLUMN pl_radj:        Candidate Radius [Jupiter radii]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_fppprob:     False Positive Probability
# COLUMN st_plx:         Parallax [mas]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_metfe:       Stellar Metallicity [dex]
# COLUMN st_metratio:    Metallicity Ratio
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_vsini:       Rot. Velocity V*sin(i) [km/s]
# COLUMN st_kep:         Kepler-band [mag]
# COLUMN st_bj:          B-band (Johnson) [mag]
# COLUMN st_vj:          V-band (Johnson) [mag]
# COLUMN st_us:          u-band (Sloan) [mag]
# COLUMN st_gs:          g-band (Sloan) [mag]
# COLUMN st_rs:          r-band (Sloan) [mag]
# COLUMN st_is:          i-band (Sloan) [mag]
# COLUMN st_zs:          z-band (Sloan) [mag]
# COLUMN st_j2:          J-band (2MASS) [mag]
# COLUMN st_h2:          H-band (2MASS) [mag]
# COLUMN st_k2:          Ks-band (2MASS) [mag]
# COLUMN st_wise1:       WISE 3.4um [mag]
# COLUMN st_wise2:       WISE 4.6um [mag]
# COLUMN st_wise3:       WISE 12.um [mag]
# COLUMN st_wise4:       WISE 22.um [mag]
# COLUMN st_bmvj:        B-V (Johnson) [mag]
# COLUMN st_jmh2:        J-H (2MASS) [mag]
# COLUMN st_hmk2:        H-Ks (2MASS) [mag]
# COLUMN st_jmk2:        J-Ks (2MASS) [mag]
#
rowid,epic_name,tm_name,epic_candname,pl_name,k2c_refdisp,k2c_reflink,k2c_disp,k2c_note,k2_campaign,k2c_recentflag,ra_str,ra,dec_str,dec,pl_orbper,pl_tranmid,pl_trandep,pl_trandur,pl_imppar,pl_orbincl,pl_ratdor,pl_ratror,pl_rade,pl_radj,pl_eqt,pl_fppprob,st_plx,st_dist,st_teff,st_logg,st_metfe,st_metratio,st_rad,st_vsini,st_kep,st_bj,st_vj,st_us,st_gs,st_rs,st_is,st_zs,st_j2,st_h2,st_k2,st_wise1,st_wise2,st_wise3,st_wise4,st_bmvj,st_jmh2,st_hmk2,st_jmk2
1555,EPIC 211892395,2MASS J09030249+1836529,EPIC 211892395.01,,CANDIDATE,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,CANDIDATE,,16,1,09h03m02.48s,135.760330,+18d36m53.0s,18.614714,0.99506100,2458095.636700,44.522400,0.1102000,,,,,,,,,,,5080.00,4.47,,,0.86,,16.238,17.535,16.436,,16.894,,,,14.386,13.750,13.590,13.667,13.721,12.196,8.572,1.099,0.636,0.160,0.796
1556,EPIC 211897272,2MASS J08273596+1841125,EPIC 211897272.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190710806K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,5,1,08h27m35.97s,126.899879,+18d41m12.6s,18.686844,11.23620000,2457143.569200,0.049100,0.0490000,,,64.000000,0.02160,2.250,,,,,,,,,,0.95,,12.566,13.587,12.812,,13.160,12.549,12.311,,11.275,10.861,10.756,10.730,10.761,10.777,8.788,0.775,0.414,0.105,0.519
1557,EPIC 211897691,2MASS J08401981+1841344,EPIC 211897691.01,,CANDIDATE,<a refstr=LIBRALATO_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.463.1780L/abstract target=ref>Libralato et al. 2016</a>,CANDIDATE,,5,0,08h40m19.81s,130.082550,+18d41m34.5s,18.692919,5.74948100,2457142.495219,0.075300,,,86.890,,0.03510,,0.261,,,,,,,,,0.77,,14.313,15.638,14.660,,15.153,14.250,13.954,,12.796,12.295,12.173,12.114,12.156,12.083,8.848,0.978,0.501,0.122,0.623
1558,EPIC 211897691,2MASS J08401981+1841344,EPIC 211897691.02,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190710806K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,5,1,08h40m19.81s,130.082550,+18d41m34.5s,18.692919,19.50800000,2457153.007600,0.123700,0.1580000,,,35.600000,0.03360,2.110,,,,,,,,,,0.58,,14.313,15.638,14.660,,15.153,14.250,13.954,,12.796,12.295,12.173,12.114,12.156,12.083,8.848,0.978,0.501,0.122,0.623
1559,EPIC 211897691,2MASS J08401981+1841344,EPIC 211897691.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190710806K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,5,1,08h40m19.81s,130.082550,+18d41m34.5s,18.692919,5.75052000,2457142.495500,0.112300,0.0600000,,,27.200000,0.03210,2.010,,,,,,,,,,0.58,,14.313,15.638,14.660,,15.153,14.250,13.954,,12.796,12.295,12.173,12.114,12.156,12.083,8.848,0.978,0.501,0.122,0.623
1560,EPIC 211897691,2MASS J08401981+1841344,EPIC 211897691.01,,CANDIDATE,<a refstr=POPE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.461.3399P/abstract target=ref>Pope et al. 2016</a>,CANDIDATE,,5,0,08h40m19.81s,130.082550,+18d41m34.5s,18.692919,5.75000000,2457142.497000,0.094500,0.0522900,0.0000,,,0.03075,,,,,,,,,,,,,14.313,15.638,14.660,,15.153,14.250,13.954,,12.796,12.295,12.173,12.114,12.156,12.083,8.848,0.978,0.501,0.122,0.623
1561,EPIC 211901114,2MASS J08413569+1844350,EPIC 211901114.01,,CANDIDATE,<a refstr=MANN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...64M/abstract target=ref>Mann et al. 2017</a>,CANDIDATE,,5,0,08h41m35.69s,130.398727,+18d44m35.0s,18.743057,1.64893200,2457140.832590,,0.0240000,1.1100,83.500,9.800000,0.19120,9.600,0.860,,2.000000e-02,,,3440.00,,,,0.46,3.2000,16.024,,,20.318,17.894,16.485,15.223,14.548,13.155,12.535,12.318,12.180,12.082,11.670,8.565,,0.620,0.217,0.837
1562,EPIC 211901114,2MASS J08413569+1844350,EPIC 211901114.01,,CANDIDATE,<a refstr=RIZZUTO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..224R/abstract target=ref>Rizzuto et al. 2017</a>,CANDIDATE,,5,1,08h41m35.69s,130.398727,+18d44m35.0s,18.743057,1.64880000,2457139.182140,0.170000,,,,,,,,,,,,,,,,,,16.024,,,20.318,17.894,16.485,15.223,14.548,13.155,12.535,12.318,12.180,12.082,11.670,8.565,,0.620,0.217,0.837
1563,EPIC 211906259,2MASS J08451464+1849096,EPIC 211906259.01,,CANDIDATE,<a refstr=POPE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.461.3399P/abstract target=ref>Pope et al. 2016</a>,CANDIDATE,,5,1,08h45m14.64s,131.311020,+18d49m09.7s,18.819359,2.52000000,2457140.559000,0.010500,0.5147900,0.1740,,,0.01024,,,,,,,,,,,,,12.676,13.478,12.817,,13.075,12.624,12.505,,11.614,11.328,11.261,11.219,11.258,11.226,8.595,0.661,0.286,0.067,0.353
1564,EPIC 211906650,2MASS J09012038+1849316,EPIC 211906650.01,K2-186 b,CONFIRMED,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018arXiv180205277M/abstract target=ref>Mayo et al. 2018</a>,CONFIRMED,,5,0,09h01m20.39s,135.334976,+18d49m31.6s,18.825455,41.47421900,2457154.845400,,,,89.524,48.939252,0.02965,3.172,0.280,,1.000000e-04,,,5784.00,4.45,0.060,[Fe/H],0.98,,12.193,12.951,12.307,,12.577,12.172,12.028,,11.142,10.840,10.774,10.733,10.762,10.621,8.145,0.644,0.302,0.066,0.368
1565,EPIC 211906650,2MASS J09012038+1849316,EPIC 211906650.01,K2-186 b,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190710806K/abstract target=ref>Kruse et al. 2019</a>,CONFIRMED,,5,1,09h01m20.39s,135.334976,+18d49m31.6s,18.825455,41.46610000,2457154.847000,0.098000,0.2550000,,,48.500000,0.02990,3.450,,,,,,,,,,1.06,,12.193,12.951,12.307,,12.577,12.172,12.028,,11.142,10.840,10.774,10.733,10.762,10.621,8.145,0.644,0.302,0.066,0.368
1566,EPIC 211906940,2MASS J09095055+1849474,EPIC 211906940.01,,FALSE POSITIVE,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,FALSE POSITIVE,,5,1,09h09m50.55s,137.460617,+18d49m47.3s,18.829815,0.52631600,2458095.477760,36.473300,0.0418000,,,,,,,,,,,,,,,,,16.368,16.654,16.360,,,,,,13.958,13.392,13.118,,,,,0.294,0.566,0.274,0.840
1567,EPIC 211910237,2MASS J09082273+1852461,EPIC 211910237.01,,FALSE POSITIVE,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,FALSE POSITIVE,,5,1,09h08m22.73s,137.094711,+18d52m46.1s,18.879482,1.10897200,2458096.369360,3.736900,0.0760000,,,,,,,,,,,,,,,,,14.750,16.111,15.100,,15.579,14.731,14.394,,13.193,12.684,12.600,12.520,12.569,11.768,8.499,1.011,0.509,0.084,0.593
1568,EPIC 211913395,2MASS J08330457+1855306,EPIC 211913395.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190710806K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,5,1,08h33m04.58s,128.269089,+18d55m30.6s,18.925173,9.35739000,2457147.876900,0.171000,0.0700000,,,34.000000,0.04140,2.690,,,,,,,,,,0.59,,15.743,17.422,16.274,,17.098,15.666,15.162,,13.820,13.128,13.037,12.931,12.981,12.356,8.723,1.148,0.692,0.091,0.783
1569,EPIC 211913977,2MASS J08412258+1856020,EPIC 211913977.01,K2-101 b,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190710806K/abstract target=ref>Kruse et al. 2019</a>,CONFIRMED,,5,1,08h41m22.58s,130.344086,+18d56m01.9s,18.933874,14.67665000,2457152.683800,0.074900,0.1390000,,,30.600000,0.02610,1.940,,,,,,,,,,0.68,,12.619,13.970,12.957,,13.448,12.557,12.264,,11.162,10.678,10.536,10.482,10.579,10.297,8.403,1.013,0.484,0.142,0.626
1570,EPIC 211913977,2MASS J08412258+1856020,EPIC 211913977.01,K2-101 b,CANDIDATE,<a refstr=MANN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...64M/abstract target=ref>Mann et al. 2017</a>,CONFIRMED,,5,0,08h41m22.58s,130.344086,+18d56m01.9s,18.933874,14.67730300,2457152.681250,,0.1380000,0.3200,89.500,32.900000,0.02470,2.000,0.180,,1.400000e-04,,,4819.00,,,,0.73,3.9000,12.619,13.970,12.957,,13.448,12.557,12.264,,11.162,10.678,10.536,10.482,10.579,10.297,8.403,1.013,0.484,0.142,0.626
1571,EPIC 211913977,2MASS J08412258+1856020,EPIC 211913977.01,K2-101 b,CANDIDATE,<a refstr=LIBRALATO_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.463.1780L/abstract target=ref>Libralato et al. 2016</a>,CONFIRMED,,5,0,08h41m22.58s,130.344086,+18d56m01.9s,18.933874,14.67582800,2457152.686540,0.063800,,,89.260,,0.02330,,0.165,,,,,,,,,0.72,,12.619,13.970,12.957,,13.448,12.557,12.264,,11.162,10.678,10.536,10.482,10.579,10.297,8.403,1.013,0.484,0.142,0.626
1572,EPIC 211913977,2MASS J08412258+1856020,EPIC 211913977.01,K2-101 b,CONFIRMED,<a refstr=RIZZUTO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..224R/abstract target=ref>Rizzuto et al. 2017</a>,CONFIRMED,,5,0,08h41m22.58s,130.344086,+18d56m01.9s,18.933874,14.68430000,2457137.980880,0.050000,,,,,,,,,,,,,,,,,,12.619,13.970,12.957,,13.448,12.557,12.264,,11.162,10.678,10.536,10.482,10.579,10.297,8.403,1.013,0.484,0.142,0.626
1573,EPIC 211913977,2MASS J08412258+1856020,EPIC 211913977.01,K2-101 b,CANDIDATE,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,CONFIRMED,,5,0,08h41m22.58s,130.344086,+18d56m01.9s,18.933874,14.66146147,2457152.715844,0.072000,0.2227917,,,,,,,,,,,,,,,,,12.619,13.970,12.957,,13.448,12.557,12.264,,11.162,10.678,10.536,10.482,10.579,10.297,8.403,1.013,0.484,0.142,0.626
1574,EPIC 211913977,2MASS J08412258+1856020,EPIC 211913977.01,K2-101 b,CANDIDATE,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018arXiv180205277M/abstract target=ref>Mayo et al. 2018</a>,CONFIRMED,,5,0,08h41m22.58s,130.344086,+18d56m01.9s,18.933874,14.67721400,2457152.682040,,,,88.857,28.727557,0.02613,2.194,0.200,,4.270000e-03,,,4942.00,4.66,0.140,[Fe/H],0.77,,12.619,13.970,12.957,,13.448,12.557,12.264,,11.162,10.678,10.536,10.482,10.579,10.297,8.403,1.013,0.484,0.142,0.626
1575,EPIC 211914445,2MASS J08414183+1856285,EPIC 211914445.01,,CANDIDATE,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,CANDIDATE,,5,1,08h41m41.84s,130.424347,+18d56m28.6s,18.941275,1.81071800,2458096.471610,0.136600,0.1002000,,,,,,,,,,,5680.00,4.26,,,1.18,,14.529,15.462,14.725,,15.054,14.502,14.304,,13.309,12.869,12.804,12.762,12.804,12.006,8.422,0.737,0.440,0.065,0.505
1576,EPIC 211914718,2MASS J08570970+1856441,EPIC 211914718.01,,FALSE POSITIVE,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,FALSE POSITIVE,,5,1,08h57m09.71s,134.290451,+18d56m44.0s,18.945551,0.58201700,2458095.667140,37.694200,0.0817000,,,,,,,,,,,,,,,,,11.448,12.090,12.112,,12.016,11.505,11.205,,9.794,9.391,9.272,9.273,9.293,9.148,8.023,-0.022,0.403,0.119,0.522
1577,EPIC 211914889,2MASS J08393071+1856533,EPIC 211914889.01,,CANDIDATE,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,CANDIDATE,,5,1,08h39m30.71s,129.877975,+18d56m53.4s,18.948166,1.81042000,2458096.481130,3.527500,0.1544000,,,,,,,,,,,3050.00,4.81,,,0.31,,18.032,,,22.157,20.219,18.745,17.095,16.210,14.703,14.116,13.841,,,,,,0.587,0.275,0.862
1578,EPIC 211914960,2MASS J08400223+1856569,EPIC 211914960.01,,CANDIDATE,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,CANDIDATE,,5,1,08h40m02.23s,130.009293,+18d56m57.0s,18.949163,1.81083400,2458096.468710,0.343300,0.1185000,,,,,,,,,,,3230.00,3.92,,,0.89,,14.179,,,,,,,,11.997,11.380,11.160,11.029,10.946,10.726,8.580,,0.617,0.220,0.837
1579,EPIC 211915147,2MASS J08390930+1857068,EPIC 211915147.01,,FALSE POSITIVE,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,FALSE POSITIVE,,5,1,08h39m09.30s,129.788757,+18d57m06.7s,18.951868,1.81070800,2458096.473400,3.567500,0.1267000,,,,,,,,,,,,,,,,,9.023,9.237,8.810,,9.870,9.364,8.660,,8.082,7.923,7.893,7.814,7.851,7.855,7.784,0.427,0.159,0.030,0.189
1580,EPIC 211916756,2MASS J08372705+1858360,EPIC 211916756.01,K2-95 b,CANDIDATE,<a refstr=MANN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...64M/abstract target=ref>Mann et al. 2017</a>,CONFIRMED,,5,0,08h37m27.06s,129.362747,+18d58m36.1s,18.976685,10.13509700,2457140.740730,,0.1100000,0.3200,89.400,30.200000,0.07710,3.700,0.330,,1.300000e-03,,,3410.00,,,,0.44,2.6000,15.498,,,,,,,,13.312,12.738,12.474,,,,,,0.574,0.264,0.838
1581,EPIC 211916756,2MASS J08372705+1858360,EPIC 211916756.01,K2-95 b,CONFIRMED,<a refstr=RIZZUTO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..224R/abstract target=ref>Rizzuto et al. 2017</a>,CONFIRMED,,5,0,08h37m27.06s,129.362747,+18d58m36.1s,18.976685,10.13380000,2457130.619460,0.440000,,,,,,,,,,,,,,,,,,15.498,,,,,,,,13.312,12.738,12.474,,,,,,0.574,0.264,0.838
1582,EPIC 211916756,2MASS J08372705+1858360,EPIC 211916756.01,K2-95 b,CANDIDATE,<a refstr=LIBRALATO_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.463.1780L/abstract target=ref>Libralato et al. 2016</a>,CONFIRMED,,5,0,08h37m27.06s,129.362747,+18d58m36.1s,18.976685,10.13423100,2457150.876813,0.527600,,,90.000,,0.07130,,0.157,,,,,,,,,0.23,,15.498,,,,,,,,13.312,12.738,12.474,,,,,,0.574,0.264,0.838
1583,EPIC 211916756,2MASS J08372705+1858360,EPIC 211916756.01,K2-95 b,CANDIDATE,<a refstr=PETIGURA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...21P/abstract target=ref>Petigura et al. 2018</a>,CONFIRMED,,5,0,08h37m27.06s,129.362747,+18d58m36.1s,18.976685,10.13427900,2457150.877830,,0.1404000,1.2000,,,0.31610,14.800,1.320,,,,,,,,,0.43,,15.498,,,,,,,,13.312,12.738,12.474,,,,,,0.574,0.264,0.838
1584,EPIC 211916756,2MASS J08372705+1858360,EPIC 211916756.01,K2-95 b,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190710806K/abstract target=ref>Kruse et al. 2019</a>,CONFIRMED,,5,1,08h37m27.06s,129.362747,+18d58m36.1s,18.976685,10.13446000,2457140.740400,0.705000,0.1190000,,,26.500000,0.07770,1.920,,,,,,,,,,0.23,,15.498,,,,,,,,13.312,12.738,12.474,,,,,,0.574,0.264,0.838
1585,EPIC 211919004,2MASS J08390649+1900360,EPIC 211919004.01,K2-273 b,CANDIDATE,<a refstr=LIBRALATO_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.463.1780L/abstract target=ref>Libralato et al. 2016</a>,CONFIRMED,,5,0,08h39m06.49s,129.777054,+19d00m36.1s,19.010023,11.72222800,2457149.084281,0.129600,,,90.000,,0.03080,,0.240,,,,,,,,,0.80,,13.131,14.282,13.371,,13.792,13.068,12.848,,11.811,11.372,11.300,11.232,11.297,11.344,8.291,0.911,0.439,0.072,0.511
1586,EPIC 211919004,2MASS J08390649+1900360,EPIC 211919004.01,K2-273 b,CANDIDATE,<a refstr=PETIGURA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...21P/abstract target=ref>Petigura et al. 2018</a>,CONFIRMED,,5,0,08h39m06.49s,129.777054,+19d00m36.1s,19.010023,11.71660300,2457149.100260,,0.2163000,0.9600,,,0.04540,4.200,0.370,,,,,,,,,0.86,,13.131,14.282,13.371,,13.792,13.068,12.848,,11.811,11.372,11.300,11.232,11.297,11.344,8.291,0.911,0.439,0.072,0.511
1587,EPIC 211919004,2MASS J08390649+1900360,EPIC 211919004.01,K2-273 b,CANDIDATE,<a refstr=POPE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.461.3399P/abstract target=ref>Pope et al. 2016</a>,CONFIRMED,,5,0,08h39m06.49s,129.777054,+19d00m36.1s,19.010023,11.72000000,2457149.097000,0.105100,0.1835800,0.0000,,,0.03242,,,,,,,,,,,,,13.131,14.282,13.371,,13.792,13.068,12.848,,11.811,11.372,11.300,11.232,11.297,11.344,8.291,0.911,0.439,0.072,0.511
1588,EPIC 211919004,2MASS J08390649+1900360,EPIC 211919004.01,K2-273 b,CANDIDATE,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,CONFIRMED,,5,0,08h39m06.49s,129.777054,+19d00m36.1s,19.010023,11.71571445,2457149.106617,0.111000,0.1815833,,,,,,,,,,,,,,,,,13.131,14.282,13.371,,13.792,13.068,12.848,,11.811,11.372,11.300,11.232,11.297,11.344,8.291,0.911,0.439,0.072,0.511
1589,EPIC 211919004,2MASS J08390649+1900360,EPIC 211919004.01,K2-273 b,CANDIDATE,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,CONFIRMED,,5,0,08h39m06.49s,129.777054,+19d00m36.1s,19.010023,11.72210300,2458098.368200,0.095800,0.1546000,,,,,2.800,,,,,,5170.00,4.56,,,0.84,,13.131,14.282,13.371,,13.792,13.068,12.848,,11.811,11.372,11.300,11.232,11.297,11.344,8.291,0.911,0.439,0.072,0.511
1590,EPIC 211919004,2MASS J08390649+1900360,EPIC 211919004.01,K2-273 b,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190710806K/abstract target=ref>Kruse et al. 2019</a>,CONFIRMED,,5,1,08h39m06.49s,129.777054,+19d00m36.1s,19.010023,11.71885000,2457149.099900,0.143400,0.2030000,,,16.900000,0.03510,3.340,,,,,,,,,,0.87,,13.131,14.282,13.371,,13.792,13.068,12.848,,11.811,11.372,11.300,11.232,11.297,11.344,8.291,0.911,0.439,0.072,0.511
1591,EPIC 211919555,2MASS J08463554+1901068,EPIC 211919555.01,,FALSE POSITIVE,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,FALSE POSITIVE,,16,1,08h46m35.55s,131.648117,+19d01m06.9s,19.018583,9.48499400,2458097.506010,8.233800,0.6098000,,,,,,,,,,,,,,,,,16.889,,,,,,,,15.435,14.848,14.377,,,,,,0.587,0.471,1.058
1592,EPIC 211919842,2MASS J08453659+1901209,EPIC 211919842.01,,FALSE POSITIVE,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,FALSE POSITIVE,,16,1,08h45m36.59s,131.402451,+19d01m21.0s,19.022509,9.51091100,2458097.323580,0.783400,0.4087000,,,,,,,,,,,,,,,,,15.625,17.685,16.210,,17.076,15.678,15.003,,13.378,12.730,12.511,12.427,12.442,11.750,8.226,1.475,0.648,0.219,0.867
1593,EPIC 211920462,,EPIC 211920462.01,,FALSE POSITIVE,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,FALSE POSITIVE,,16,1,08h43m29.49s,130.872894,+19d01m55.8s,19.032173,9.51679300,2458097.294950,40.880300,0.4087000,,,,,,,,,,,,,,,,,19.874,,,20.492,19.997,19.833,19.922,19.705,,,,,,,,,,,
1594,EPIC 211920528,2MASS J08443034+1901590,EPIC 211920528.01,,FALSE POSITIVE,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,FALSE POSITIVE,,5,1,08h44m30.34s,131.126434,+19d01m59.0s,19.033047,9.48658000,2458097.504070,0.215300,0.4341000,,,,,,,,,,,,,,,,,12.279,12.883,12.393,,12.561,12.253,12.158,,11.367,11.093,11.034,11.017,11.036,10.284,6.981,0.490,0.274,0.059,0.333
1595,EPIC 211920604,2MASS J08435099+1902027,EPIC 211920604.01,,FALSE POSITIVE,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,FALSE POSITIVE,,5,1,08h43m50.99s,130.962463,+19d02m02.6s,19.034058,9.48792900,2458097.492190,0.878300,0.5031000,,,,,,,,,,,,,,,,,12.258,12.892,12.370,,12.564,12.242,12.127,,11.305,11.045,10.972,10.968,10.997,10.890,8.125,0.522,0.260,0.073,0.333
1596,EPIC 211920811,2MASS J08431372+1902129,EPIC 211920811.01,,FALSE POSITIVE,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,FALSE POSITIVE,,5,1,08h43m13.73s,130.807220,+19d02m12.9s,19.036915,9.49259000,2458097.470040,0.471300,0.4525000,,,,,,,,,,,,,,,,,12.482,13.911,12.786,,13.327,12.417,12.121,,10.884,10.351,10.227,,,,,1.125,0.533,0.124,0.657
1597,EPIC 211923431,2MASS J08314496+1904288,EPIC 211923431.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190710806K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,5,1,08h31m44.97s,127.937355,+19d04m28.7s,19.074640,29.73610000,2457143.818000,0.088800,0.2270000,,,38.200000,0.02820,3.520,,,,,,,,,,1.14,,14.101,15.043,14.303,,14.625,14.116,13.877,,12.927,12.491,12.435,12.371,12.396,12.075,8.624,0.740,0.436,0.056,0.492
